turtle,0_0,0_1,0_2,0_3,0_4,0_5,0_6,0_7,0_8,0_9,1_0,1_1,1_2,1_3,1_4,1_5,1_6,1_7,1_8,1_9,2_0,2_1,2_2,2_3,2_4,2_5,2_6,2_7,2_8,2_9,3_0,3_1,3_2,3_3,3_4,3_5,3_6,3_7,3_8,3_9,4_0,4_1,4_2,4_3,4_4,4_5,4_6,4_7,4_8,4_9
26,1.2267287939568767,1.2408000414080613,1.254871288859246,1.2689425363104305,1.2830137837616151,1.2970850312127997,1.3111562786639843,1.325227526115169,1.3392987735663535,1.3533700210175381,1.3674412684687227,1.3495957939712548,1.3317503194737867,1.3139048449763189,1.296059370478851,1.278213895981383,1.260368421483915,1.2425229469864472,1.2246774724889793,1.2068319979915112,1.1889865234940433,1.2068319979915112,1.2246774724889793,1.2425229469864472,1.260368421483915,1.278213895981383,1.296059370478851,1.3139048449763189,1.3317503194737867,1.3495957939712548,1.3674412684687227,1.3533700210175381,1.3392987735663535,1.325227526115169,1.3111562786639843,1.2970850312127997,1.2830137837616151,1.2689425363104305,1.254871288859246,1.2408000414080613,1.2267287939568767,1.2267473136572675,1.2267658333576583,1.2267843530580493,1.2268028727584401,1.226821392458831,1.2268399121592217,1.2268584318596125,1.2268769515600035,1.2268954712603943
27,1.4015898772507562,1.4144727180306746,1.4273555588105928,1.4402383995905113,1.4531212403704297,1.466004081150348,1.4788869219302663,1.4917697627101847,1.504652603490103,1.5175354442700213,1.5304182850499397,1.5154560735593814,1.5004938620688228,1.4855316505782645,1.470569439087706,1.4556072275971477,1.4406450161065893,1.4256828046160308,1.4107205931254725,1.395758381634914,1.3807961701443556,1.395758381634914,1.4107205931254725,1.4256828046160308,1.4406450161065893,1.4556072275971477,1.470569439087706,1.4855316505782645,1.5004938620688228,1.5154560735593814,1.5304182850499397,1.5175354442700213,1.504652603490103,1.4917697627101847,1.4788869219302663,1.466004081150348,1.4531212403704297,1.4402383995905113,1.4273555588105928,1.4144727180306746,1.4015898772507562,1.4015151694876726,1.401440461724589,1.4013657539615054,1.4012910461984218,1.4012163384353382,1.4011416306722548,1.4010669229091712,1.4009922151460876,1.400917507383004
28,1.5791161348260805,1.590345326309107,1.6015745177921334,1.61280370927516,1.6240329007581864,1.6352620922412129,1.6464912837242396,1.657720475207266,1.6689496666902925,1.680178858173319,1.6914080496563455,1.6809275137728874,1.6704469778894295,1.6599664420059717,1.6494859061225136,1.6390053702390555,1.6285248343555976,1.6180442984721397,1.6075637625886816,1.5970832267052235,1.5866026908217656,1.5970832267052235,1.6075637625886816,1.6180442984721397,1.6285248343555976,1.6390053702390555,1.6494859061225136,1.6599664420059717,1.6704469778894295,1.6809275137728874,1.6914080496563455,1.680178858173319,1.6689496666902925,1.657720475207266,1.6464912837242396,1.6352620922412129,1.6240329007581864,1.61280370927516,1.6015745177921334,1.590345326309107,1.5791161348260805,1.5788767934319718,1.5786374520378632,1.5783981106437546,1.578158769249646,1.5779194278555373,1.5776800864614287,1.57744074506732,1.5772014036732114,1.5769620622791027
29,1.7521032014077507,1.7623535088877,1.7726038163676494,1.782854123847599,1.7931044313275484,1.8033547388074977,1.8136050462874471,1.8238553537673965,1.834105661247346,1.8443559687272955,1.8546062762072448,1.8475328520336358,1.8404594278600268,1.8333860036864178,1.8263125795128088,1.8192391553391998,1.8121657311655905,1.8050923069919815,1.7980188828183725,1.7909454586447635,1.7838720344711545,1.7909454586447635,1.7980188828183725,1.8050923069919815,1.8121657311655905,1.8192391553391998,1.8263125795128088,1.8333860036864178,1.8404594278600268,1.8475328520336358,1.8546062762072448,1.8443559687272955,1.834105661247346,1.8238553537673965,1.8136050462874471,1.8033547388074977,1.7931044313275484,1.782854123847599,1.7726038163676494,1.7623535088877,1.7521032014077507,1.7515708490054835,1.7510384966032164,1.7505061442009493,1.7499737917986822,1.7494414393964153,1.7489090869941482,1.748376734591881,1.747844382189614,1.7473120297873468
30,1.9259148951179652,1.9349762199005203,1.9440375446830755,1.9530988694656306,1.9621601942481859,1.971221519030741,1.980282843813296,1.9893441685958513,1.9984054933784063,2.0074668181609616,2.0165281429435167,2.0069394487990135,1.9973507546545104,1.9877620605100073,1.9781733663655041,1.968584672221001,1.958995978076498,1.949407283931995,1.9398185897874918,1.9302298956429886,1.9206412014984855,1.9302298956429886,1.9398185897874918,1.949407283931995,1.958995978076498,1.968584672221001,1.9781733663655041,1.9877620605100073,1.9973507546545104,2.0069394487990135,2.0165281429435167,2.0074668181609616,1.9984054933784063,1.9893441685958513,1.980282843813296,1.971221519030741,1.9621601942481859,1.9530988694656306,1.9440375446830755,1.9349762199005203,1.9259148951179652,1.9256040209486582,1.925293146779351,1.924982272610044,1.9246713984407369,1.92436052427143,1.924049650102123,1.9237387759328157,1.9234279017635088,1.9231170275942016
31,2.0988608269769973,2.1081934580768813,2.117526089176765,2.126858720276649,2.136191351376533,2.1455239824764165,2.1548566135763005,2.1641892446761846,2.1735218757760686,2.182854506875952,2.192187137975836,2.1792778672306445,2.1663685964854524,2.1534593257402603,2.1405500549950687,2.127640784249877,2.114731513504685,2.101822242759493,2.088912972014301,2.0760037012691095,2.0630944305239174,2.0760037012691095,2.088912972014301,2.101822242759493,2.114731513504685,2.127640784249877,2.1405500549950687,2.1534593257402603,2.1663685964854524,2.1792778672306445,2.192187137975836,2.182854506875952,2.1735218757760686,2.1641892446761846,2.1548566135763005,2.1455239824764165,2.136191351376533,2.126858720276649,2.117526089176765,2.1081934580768813,2.0988608269769973,2.098536199201465,2.0982115714259324,2.0978869436504,2.0975623158748675,2.0972376880993346,2.096913060323802,2.0965884325482698,2.0962638047727373,2.095939176997205
32,2.2728703334450207,2.281910483188536,2.2909506329320513,2.299990782675567,2.309030932419082,2.3180710821625974,2.327111231906113,2.336151381649628,2.3451915313931435,2.3542316811366586,2.363271830880174,2.3508891787260895,2.3385065265720044,2.32612387441792,2.313741222263835,2.30135857010975,2.2889759179556655,2.276593265801581,2.264210613647496,2.251827961493411,2.2394453093393265,2.251827961493411,2.264210613647496,2.276593265801581,2.2889759179556655,2.30135857010975,2.313741222263835,2.32612387441792,2.3385065265720044,2.3508891787260895,2.363271830880174,2.3542316811366586,2.3451915313931435,2.336151381649628,2.327111231906113,2.3180710821625974,2.309030932419082,2.299990782675567,2.2909506329320513,2.281910483188536,2.2728703334450207,2.27259515770371,2.2723199819623994,2.2720448062210887,2.271769630479778,2.271494454738468,2.2712192789971573,2.2709441032558466,2.270668927514536,2.2703937517732253
33,2.4468622462971483,2.4564189596099646,2.465975672922781,2.4755323862355976,2.485089099548414,2.49464581286123,2.5042025261740464,2.5137592394868626,2.5233159527996794,2.5328726661124956,2.542429379425312,2.5341152260007167,2.525801072576121,2.517486919151526,2.5091727657269307,2.500858612302335,2.49254445887774,2.4842303054531447,2.4759161520285495,2.467601998603954,2.4592878451793587,2.467601998603954,2.4759161520285495,2.4842303054531447,2.49254445887774,2.500858612302335,2.5091727657269307,2.517486919151526,2.525801072576121,2.5341152260007167,2.542429379425312,2.5328726661124956,2.5233159527996794,2.5137592394868626,2.5042025261740464,2.49464581286123,2.485089099548414,2.4755323862355976,2.465975672922781,2.4564189596099646,2.4468622462971483,2.4471822559653384,2.4475022656335286,2.4478222753017183,2.4481422849699084,2.4484622946380985,2.4487823043062886,2.4491023139744788,2.4494223236426684,2.4497423333108586
34,2.6228903441434186,2.6333470807300734,2.643803817316728,2.654260553903383,2.664717290490038,2.675174027076693,2.685630763663348,2.6960875002500027,2.7065442368366575,2.7170009734233123,2.727457710009967,2.7243930712851867,2.7213284325604064,2.718263793835626,2.7151991551108456,2.7121345163860653,2.7090698776612845,2.706005238936504,2.7029406002117238,2.6998759614869434,2.696811322762163,2.6998759614869434,2.7029406002117238,2.706005238936504,2.7090698776612845,2.7121345163860653,2.7151991551108456,2.718263793835626,2.7213284325604064,2.7243930712851867,2.727457710009967,2.7170009734233123,2.7065442368366575,2.6960875002500027,2.685630763663348,2.675174027076693,2.664717290490038,2.654260553903383,2.643803817316728,2.6333470807300734,2.6228903441434186,2.623010704809521,2.6231310654756235,2.623251426141726,2.6233717868078283,2.6234921474739306,2.623612508140033,2.623732868806136,2.623853229472238,2.6239735901383403
35,2.7975251207517733,2.8086508513479327,2.8197765819440925,2.830902312540252,2.8420280431364118,2.853153773732571,2.8642795043287306,2.8754052349248904,2.88653096552105,2.8976566961172097,2.908782426713369,2.9106296550905566,2.912476883467744,2.9143241118449317,2.916171340222119,2.9180185685993068,2.9198657969764943,2.921713025353682,2.9235602537308694,2.925407482108057,2.9272547104852444,2.925407482108057,2.9235602537308694,2.921713025353682,2.9198657969764943,2.9180185685993068,2.916171340222119,2.9143241118449317,2.912476883467744,2.9106296550905566,2.908782426713369,2.8976566961172097,2.88653096552105,2.8754052349248904,2.8642795043287306,2.853153773732571,2.8420280431364118,2.830902312540252,2.8197765819440925,2.8086508513479327,2.7975251207517733,2.798015375288987,2.7985056298262005,2.798995884363414,2.799486138900628,2.7999763934378414,2.800466647975055,2.8009569025122687,2.8014471570494823,2.801937411586696
36,2.972386204045653,2.9852690448255714,2.99815188560549,3.011034726385408,3.0239175671653262,3.0368004079452446,3.049683248725163,3.0625660895050815,3.0754489302849994,3.088331771064918,3.1012146118448363,3.1042924455089014,3.1073702791729665,3.1104481128370316,3.1135259465010967,3.1166037801651614,3.1196816138292265,3.1227594474932916,3.1258372811573567,3.128915114821422,3.131992948485487,3.128915114821422,3.1258372811573567,3.1227594474932916,3.1196816138292265,3.1166037801651614,3.1135259465010967,3.1104481128370316,3.1073702791729665,3.1042924455089014,3.1012146118448363,3.088331771064918,3.0754489302849994,3.0625660895050815,3.049683248725163,3.0368004079452446,3.0239175671653262,3.011034726385408,2.99815188560549,2.9852690448255714,2.972386204045653,2.972757093394171,2.9731279827426893,2.973498872091208,2.973869761439726,2.974240650788244,2.9746115401367623,2.9749824294852805,2.975353318833799,2.975724208182317
