x,y
0,256
37,293
38,218
67,323
68,188
93,163
93,349
116,140
116,372
139,117
139,395
161,95
162,418
187,69
187,443
217,39
217,473
254,510
255,1
293,37
293,475
323,67
323,445
349,93
349,419
372,116
372,396
395,139
395,373
417,161
418,350
443,187
443,325
473,217
473,295
511,255
