x,y
16,53
16,116
16,167
16,212
16,254
16,297
16,342
16,393
16,456
53,16
53,496
116,16
116,496
167,16
167,496
212,16
212,496
254,496
255,16
297,16
297,496
342,16
342,496
393,496
394,16
456,16
456,496
496,53
496,116
496,167
496,212
496,255
496,297
496,342
496,393
496,456
