x,y
405,267
384,240
353,261
325,288
297,316
271,339
270,300
270,260
270,221
271,182
270,143
270,103
243,85
226,115
226,154
226,193
226,233
227,272
226,311
219,336
191,308
164,280
136,252
103,244
97,277
125,304
153,332
180,360
208,388
236,415
269,407
297,379
325,352
353,324
380,296
404,267
