x,y
151,236
151,254
153,273
155,219
159,290
162,203
168,306
173,187
179,320
186,174
192,331
201,163
207,340
218,156
222,346
236,151
238,349
254,349
255,151
270,347
273,153
286,343
290,159
300,336
306,168
314,326
320,179
325,315
331,192
334,303
339,206
342,287
346,222
347,270
349,238
349,255
