x,y
10,51
10,102
10,154
10,205
51,10
51,250
51,500
102,10
102,250
102,500
154,10
154,250
154,500
205,10
205,250
205,500
256,10
256,250
256,500
307,10
307,250
307,500
358,10
358,250
358,500
410,10
410,250
410,500
461,10
461,250
461,500
500,256
500,307
500,358
500,410
500,461
