x,y
250,97
231,118
209,139
188,161
166,182
146,203
126,223
105,245
90,269
82,296
84,325
93,352
110,375
134,391
160,401
190,401
217,393
240,376
261,376
284,393
311,401
341,401
367,391
391,375
408,351
417,325
418,296
411,269
396,245
375,223
355,202
334,182
313,160
291,139
270,117
250,98
