x,y
170,424
128,416
100,385
99,342
118,305
152,281
116,270
80,248
59,212
71,173
108,153
149,160
185,182
188,141
207,104
240,77
279,80
305,114
309,156
324,164
364,153
406,159
439,184
442,225
412,254
373,269
378,290
397,327
387,368
358,398
316,399
280,377
253,343
236,373
208,406
170,424
