x,y
16,256
77,286
79,225
117,305
118,206
144,193
144,319
160,176
160,335
165,146
165,364
170,108
170,402
179,46
179,462
221,68
221,444
254,410
255,103
277,126
277,386
296,141
296,371
323,375
324,137
359,131
359,381
376,256
387,277
388,233
403,308
404,202
415,121
415,391
427,158
427,353
